source_id,term,candidate_count,category,human_selected_index,v7_selected_index,finetuned_selected_index,finetuned_valid,finetuned_error,human_selected_sentence,v7_selected_sentence,finetuned_selected_sentence
217,Down Syndrome,41,finetuned_regressed,0,0,6,True,,Down syndrome is a condition in which a person has an extra chromosome or an extra piece of a chromosome.,Down syndrome is a condition in which a person has an extra chromosome or an extra piece of a chromosome.,People with Down syndrome have an extra copy of chromosome 21.
7347,HIV: PrEP and PEP,45,both_correct,0,0,0,True,,PrEP and PEP are medicines to prevent HIV .,PrEP and PEP are medicines to prevent HIV .,PrEP and PEP are medicines to prevent HIV .
5901,Rh Incompatibility,29,both_wrong,4,10,10,True,,"If your blood cells have this protein, you are Rh-positive.","If you are pregnant and are Rh-negative and your fetus is Rh-positive, it's called Rh incompatibility.","If you are pregnant and are Rh-negative and your fetus is Rh-positive, it's called Rh incompatibility."
3176,Evaluating Health Information,66,both_wrong,65,5,5,True,,"After you evaluate health information, talk with your provider before using it to make decisions that may affect your health.",That's why it's important to evaluate health information for yourself.,That's why it's important to evaluate health information for yourself.
6125,Hyperglycemia,45,both_correct,8,8,8,True,,Hyperglycemia means high blood glucose.,Hyperglycemia means high blood glucose.,Hyperglycemia means high blood glucose.
120,Alcohol Use Disorder (AUD),39,both_wrong,2,6,6,True,,Alcohol misuse means that drinking causes distress and harm.,AUD is a disease that causes: Craving - a strong need to drink Loss of control - not being able to stop drinking once you've started Negative emotional state - feeling anxious and irritable when you are not drinking What is binge drinking?,AUD is a disease that causes: Craving - a strong need to drink Loss of control - not being able to stop drinking once you've started Negative emotional state - feeling anxious and irritable when you are not drinking What is binge drinking?
4959,Drugs and Young People,40,finetuned_regressed,8,8,,False,"invalid selected_index in model output: None (raw content: '{\n    ""All candidates""\n    \t\t:\n    \t""0. Drug use , or misuse, includes: Using illegal substances, such as Anabolic steroids Club drugs Cocaine Heroin Inhalants Marijuana Methamphetamines Misusing prescription medicines , including opioids . ""\n    ,\n    \t""1. This means taking the medicines in a different way than the health care provider prescribed.""\n    \t\t:\n    \t""Does not stand alone (requires context of what \'this\' means). ""\n    ,\n    \t""2. This includes Taking a medicine that was prescribed for someone else Taking a larger dose than you are supposed to Using the medicine in a different way than you are supposed to.""\n   \t\t:\n    \t""Does not stand alone (requires context of what \'this\' includes). ""\n    ,\n    \t""3. For example, instead of swallowing your tablets, you might crush and then snort or inject them.""\n   \t\t:\n   \t""Does not stand alone (requires context of example and what it refers to). ""\n    ,\n    \t""4. Using the medicine for another purpose, such as getting high Misusing over-the-counter medicines , including using them for another purpose and using them in a different way than you are supposed to.""\n   \t\t:\n   \t""Fragment (looks like a list item). Does not stand alone.""\n    ,\n    \t""5. Why are drugs especially dangerous for young people? ""\n   \t\t:\n   \t""Question (Rule 3: question introduces topic but doesn\'t explain it).""\n    ,\n    \t""6. Young people\'s brains are growing and developing until they are their mid-20\'s.""\n   \t\t:\n   \t""Stands alone, but explains \'brains\', not the interaction of drugs and young people directly. Rule 3: needs to explain the term \'Drugs and Young People\', ""\n    ,\n    \t""7. This is especially true of the prefrontal cortex, which is used to make decisions.""\n   \t\t:\n   \t""Does not stand alone.""\n    \t,\n    \t""8. Taking drugs when young can interfere with developmental processes occurring in the brain.""\n   \t\t:\n   \t""Stands alone. Rule 2: Explains the mechanism of what \'drugs and young people\' implies. Rule 3: Explains what happens. It gives the core concept.""\n    ,\n    \t""9. It can also affect their decision-making.""\n   \t\t:\n   \t""Does not stand alone.""\n    \t,\n    \t""10. They may be more likely to do risky things, such as unsafe sex and dangerous driving.""\n   \t\t:\n   \t""Does not stand alone (\'They\' refers to young people? Context needed). Results in a consequence, but needs \'what\' leading to this.""\n    \t,\n    \t""11. The earlier young people start using drugs, the greater their chances of continuing to use them and become addicted later in life.Taking drugs when you are young can contribute to the development of adult health problems, such as heart disease , high blood pressure , and sleep disorders .""\n   \t\t:\n   \t""Two sentences. Not appropriate as it has 2 distinct ideas. Usually one is 37 or 38 in original document, which I must cite. If original has one as 11, I assume it\'s a typo in list provided. Wait, check original source format. In my knowledge, this MedlinePlus article usually splits \'chances of continuing\' and \'health problems\' into separate points. The list provided here has them concatenated without a space or punctuation between the two ideas. It looks like one index 11 has two sentences combined. Let me re-read the instruction. I must select ONE index. The candidate at 11 looks like \'...later in life.Taking ... problems , such as ...\' There is no space. This looks like a formatting error in the input list or a single index with a run-on that is semantically two separate statements. I should check if I can select 11 as an explanation. If I select 11, does it stand alone as \'Taking drugs when you are young can interfere with...\' vs \'Taking drugs when young can contribute to...\'. Wait, sentence 8 says \'interfere with developmental processes\'. Sentence 11 says \'contributing to... adult health problems\'. Both are good, but 8 is more direct about \'why drugs are dangerous for young people\' in terms of development. 11 is also good. 11 includes two complete thoughts. The instruction says \'never... combine sentences\'. So 11 is already a single index in the input list. I must use the text exactly as given. So I can select 11. ""\n    ,\n    \t""12. Which drugs most commonly used by young people? ""\n   \t\t:\n   \t""Question.""\n    ,\n    \t""13. The drugs that are most commonly used by young people are alcohol , tobacco , and marijuana.""\n   \t\t:\n   \t""Stands alone. Rule 2: answers \'what drugs\', not \'why drugs and young people\' is important.""\n    \t,\n    \t""14. Recently, more young people have started vaping tobacco and marijuana.""\n   \t\t:\n   \t""Too specific.""\n    \t,\n    \t""15. There is still a lot we don\'t know about the dangers of vaping.""\n   \t\t:\n   \t""Specific to vaping.""\n    \t,\n    \t""16. Some people have unexpectedly gotten very ill or have even died after vaping.""\n   \t\t:\n   \t""Specific to vaping.""\n    \t,\n    \t""17. Because of this, young people should stay away from vaping.""\n   \t\t:\n   \t""Does not stand alone.""\n    ,\n    \t""18. Why do young people take drugs? ""\n   \t\t:\n   \t""Question.""\n    \t,\n    \t""19. There are many different reasons why a young person may take drugs, including: To fit in.""\n   \t\t:\n   \t""Fragment/Incomplete list.""\n    \t,\n    \t""20. Young people may do drugs because they want to be accepted by friends or peers who are doing drugs.""\n   \t\t:\n   \t""Specific reason.""\n    \t,\n    \t""21. To feel good.""\n   \t\t:\n   \t""Fragment.""\n    \t,\n    \t""22. Abused drugs can produce feelings of pleasure.""\n   \t\t:\n   \t""Too generic.""\n    \t,\n    \t""23. To feel better.""\n   \t\t:\n   \t""Fragment.""\n    \t,\n    \t""24. Some young people suffer from depression , anxiety , stress -related disorders, and physical pain.""\n   \t\t:\n   \t""Reason.""\n    \t,\n    \t""25. They may do drugs to try to get some relief.""\n   \t\t:\n   \t""Fragment.""\n    \t,\n    \t""26. To do better in academics or sports.""\n   \t\t:\n   \t""Fragment.""\n    \t,\n    \t""27. Some young people may take stimulants for studying or anabolic steroids to improve their athletic performance.""\n   \t\t:\n   \t""Specific reasons.""\n    \t,\n    \t""28. To experiment.""\n   \t\t:\n   \t""Fragment.""\n    \t,\n    \t""29. Young people often want to try new experiences, especially ones that they think are thrilling or daring.""\n   \t\t:\n   \t""Reason.""\n    \t,\n    \t""30. Which young people are at risk for drug use? ""\n   \t\t:\n   \t""Question.""\n    \t,\n    \t""31. Different factors may raise a young person\'s risk for drug use, including: Stressful early life experiences, such child abuse , child sexual abuse , and other forms of trauma Genetics Prenatal exposure to alcohol or other drugs Lack of parental supervision or monitoring Having peers and/or friends who use drugs What are the signs that a young person has a drug problem? ""\n   \t\t:\n   \t""Two questions at the end. Does not stand well.""\n    \t,\n    \t""32. Changing friends a lot Spending a lot of time alone Losing interest in favorite things Not taking care of themselves - for example, not taking showers, changing clothes, or brushing their teeth Being really tired and sad Eating more or eating less than usual Being very energetic, talking fast, or saying things that don\'t make sense Being in a bad mood Quickly changing between feeling bad and feeling good Missing important appointments Having problems at school - missing class, getting bad grades Having problems in personal or family relationships Lying and stealing Memory lapses, poor concentration, lack of coordination, slurred speech, etc.""\n   \t\t:\n   \t""List of signs.""\n    \t,\n    \t""33. Can drug use in young people be prevented? ""\n   \t\t:\n   \t""Question.""\n    \t,\n    \t""34. Drug use and addiction are preventable.""\n   \t\t:\n   \t""Statement.""\n    \t,\n    \t""35. Prevention programs involving families, schools, communities, and the media may prevent or reduce drug use and addiction.""\n   \t\t:\n   \t""Prevention programs.""\n    \t,\n    \t""36. These programs include education and outreach to help people understand the risks of drug use.""\n   \t\t:\n   \t""Fragment.""\n    \t,\n    \t""37. You can help prevent your children from using drugs through: Good communication with your children Encouragement, so your children can build confidence and a strong sense of self.""\n   \t\t:\n   \t""Advice.""\n    \t,\n    \t""38. It also helps parents promote cooperation and reduce conflict.""\n   \t\t:\n   \t""Fragment.""\n    \t,\n    \t""39. Teaching your children problem-solving skills Setting limits, to teach your children self-control and responsibility, provide safe boundaries, and show them that you care Supervision, which helps parents recognize developing problems, promote safety, and stay involved Knowing your children\'s friends""\n   \t\t:\n   \t""Advice.""\n}')",Taking drugs when young can interfere with developmental processes occurring in the brain.,Taking drugs when young can interfere with developmental processes occurring in the brain.,
5632,Histoplasmosis,22,both_correct,0,0,0,True,,Histoplasmosis is an infection caused by a fungus called Histoplasma .,Histoplasmosis is an infection caused by a fungus called Histoplasma .,Histoplasmosis is an infection caused by a fungus called Histoplasma .
1502,Living with HIV,36,finetuned_regressed,7,7,1,True,,"The medicines allow people with HIV to have long, healthy lives.","The medicines allow people with HIV to have long, healthy lives.",It harms your immune system by destroying a type of white blood cell that helps your body fight infection.
6469,Healthy Sleep,57,both_correct,1,1,1,True,,"Sleep is a natural process that helps your body restore energy, supports learning and memory, and keeps you healthy.","Sleep is a natural process that helps your body restore energy, supports learning and memory, and keeps you healthy.","Sleep is a natural process that helps your body restore energy, supports learning and memory, and keeps you healthy."
7607,"Cleaning, Disinfecting, and Sanitizing",40,finetuned_regressed,12,12,32,True,,So it's also important to regularly clean and disinfect surfaces and objects.,So it's also important to regularly clean and disinfect surfaces and objects.,"To prevent the spread of infection, you should regularly clean and disinfect surfaces and objects that are touched often."
6785,"HDL: The ""Good"" Cholesterol",44,finetuned_regressed,7,7,,False,"invalid selected_index in model output: None (raw content: '{\n    ""term"": ""HDL: The \'Good\' Cholesterol"",\n    ""goal"": ""Select ONE sentence from the provided list to explain the term HDL / The \'Good\' Cholesterol clearly and meaningfully on its own."",\n    ""constraints"": ""Must be an exact sentence from the list. Must work alone. Must explain the term, not just be related advice. Must feel standalone."",\n    ""candidate_review"":\n    -0.1\n     \t}')","It is sometimes called the ""good"" cholesterol because it carries cholesterol from other parts of your body back to your liver.","It is sometimes called the ""good"" cholesterol because it carries cholesterol from other parts of your body back to your liver.",
1443,Radon,39,both_correct,0,0,0,True,,Radon is a naturally occurring radioactive gas.,Radon is a naturally occurring radioactive gas.,Radon is a naturally occurring radioactive gas.
